id,timestamp,likes,retweets
1464939230740815889,2021-11-28T12:48:24.000Z,2544,659
1464758036728360960,2021-11-28T00:48:24.000Z,3278,770
1464574325911166980,2021-11-27T12:38:24.000Z,2905,687
1464390618814234631,2021-11-27T00:28:25.000Z,3967,896
1464206905946087438,2021-11-26T12:18:24.000Z,2829,687
1464025710796939268,2021-11-26T00:18:24.000Z,3007,682
1463842003100205060,2021-11-25T12:08:25.000Z,1889,476
1463658291758776327,2021-11-24T23:58:24.000Z,3193,745
1463477097289105411,2021-11-24T11:58:24.000Z,1427,336
1463293387440898053,2021-11-23T23:48:24.000Z,3773,962
1463109676690821125,2021-11-23T11:38:24.000Z,1621,396
1462925967710695426,2021-11-22T23:28:25.000Z,2940,697
1462744773232574467,2021-11-22T11:28:25.000Z,1568,399
1462563578762911746,2021-11-21T23:28:24.000Z,4080,964
1462379880058961923,2021-11-21T11:18:27.000Z,1481,353
1462198674264666116,2021-11-20T23:18:24.000Z,4268,937
1462014964990984196,2021-11-20T11:08:25.000Z,1751,430
1461831254723244039,2021-11-19T22:58:25.000Z,3500,779
1461650059318206468,2021-11-19T10:58:24.000Z,1525,404
1461466349755056129,2021-11-18T22:48:25.000Z,3073,758
1461282638551994376,2021-11-18T10:38:25.000Z,1906,541
1461098929194471425,2021-11-17T22:28:25.000Z,2143,550
1460915220021403651,2021-11-17T10:18:25.000Z,2122,565
1460734024394158083,2021-11-16T22:18:25.000Z,2867,703
1460550314189377536,2021-11-16T10:08:25.000Z,1613,465
1460366609856536576,2021-11-15T21:58:26.000Z,3156,797
1460185406713081857,2021-11-15T09:58:24.000Z,3126,754
1460001698496356360,2021-11-14T21:48:25.000Z,5600,1294
1459820502638370817,2021-11-14T09:48:24.000Z,4489,1113
1459636792806813705,2021-11-13T21:38:24.000Z,1618,427
1459455598098014208,2021-11-13T09:38:24.000Z,4076,1053
1459271888182644745,2021-11-12T21:28:24.000Z,1810,466
1459090693650006020,2021-11-12T09:28:24.000Z,4361,1090
1458909499599765513,2021-11-11T21:28:24.000Z,1737,455
1458725791894802437,2021-11-11T09:18:25.000Z,1856,520
1458542080649834502,2021-11-10T21:08:25.000Z,1941,549
1458358368964423686,2021-11-10T08:58:24.000Z,3348,899
1458174658365296641,2021-11-09T20:48:24.000Z,1639,433
1457993463534862336,2021-11-09T08:48:24.000Z,1437,400
1457809753254531084,2021-11-08T20:38:24.000Z,2491,705
1457628559325999105,2021-11-08T08:38:24.000Z,4019,1087
1457447365162541058,2021-11-07T20:38:24.000Z,1848,506
1457263658531233795,2021-11-07T08:28:25.000Z,1742,471
1457082460798324736,2021-11-06T20:28:24.000Z,4481,1073
1456901266899152897,2021-11-06T08:28:24.000Z,4534,1205
1456720071993307138,2021-11-05T20:28:24.000Z,2211,590
1456536362547617813,2021-11-05T08:18:24.000Z,1909,564
1456355167436263424,2021-11-04T20:18:24.000Z,4387,1182
1456171459412439041,2021-11-04T08:08:24.000Z,3667,1039
1455987748528181252,2021-11-03T19:58:24.000Z,2481,749
1455804039338373121,2021-11-03T07:48:25.000Z,1885,563
